0	1	Q548203	Q548203:1.0	Q3931421:0.9999998807907104	Q27438121:0.9999997615814209	Q641697:0.9999995231628418	Q1030206:0.9999963045120239
1	1	Q17146	Q17146:1.0	Q20082627:0.9999998807907104	Q1064135:0.9999877214431763	Q17138:0.9999722242355347	Q11233573:0.9998165965080261
10	1	Q1538485	Q21772565:1.0	Q1538485:1.0	Q2757933:0.9999998807907104	Q94587084:0.9999998807907104	Q1512956:0.9999998807907104
11	1	Q1207356	Q1060715:0.9999995231628418	Q1194617:0.999996542930603	Q2501650:0.9999961853027344	Q1207356:0.9999958276748657	Q2067832:0.9999957084655762
12	1	Q213911	Q213911:1.0	Q735613:1.0	Q861205:1.0	Q12395:1.0	Q2714265:0.9999998807907104
13	1	Q369086	Q2708114:1.0	Q369086:1.0	Q19089:0.9999959468841553	Q3772920:0.9999943971633911	Q60786878:0.9999831914901733
14	1	Q216995	Q216995:1.0	Q1142888:1.0	Q1046604:0.9999997615814209	Q17630799:0.9999995231628418	Q1063119:0.9999994039535522
15	1	Q2995061	Q2466962:1.0	Q2995061:1.0	Q2982122:1.0	Q2978434:1.0	Q1967293:1.0
16	1	Q518987	Q2564684:1.0	Q518987:0.9999998807907104	Q585939:0.9999997615814209	Q16201230:0.9999996423721313	Q936413:0.9999995231628418
17	1	Q6498489	Q1209867:1.0	Q60743293:0.9999997615814209	Q3122108:0.9999996423721313	Q3282619:0.9999996423721313	Q3045091:0.9999995231628418
18	1	Q1133204	Q5575485:0.9999998807907104	Q1133204:0.9999997615814209	Q196255:0.9999997615814209	Q605180:0.9999995231628418	Q16256689:0.9999995231628418
19	1	Q37123	Q65239343:1.0	Q37115:1.0	Q37123:1.0	Q1068669:1.0	Q1046812:0.9999998807907104
2	1	Q94797	Q94797:1.0	Q648099:0.9999998807907104	Q105265216:0.9999998807907104	Q149106:0.9999998807907104	Q94501:0.9999998807907104
20	1	Q1780344	Q3500399:1.0	Q14928351:0.9999998807907104	Q3500405:0.9999998807907104	Q1780344:0.9999977350234985	Q3500403:0.9999964237213135
21	1	Q1315653	Q1315653:1.0	Q275122:0.9999980926513672	Q5557386:0.9999974966049194	Q5557490:0.9999960660934448	Q956303:0.9999860525131226
3	1	Q57270	Q57270:1.0	Q4914658:0.9999995231628418	Q2074746:0.9999992847442627	Q302839:0.9999991655349731	Q4914660:0.999994158744812
4	1	Q735613	Q735613:1.0	Q12395:1.0	Q213911:0.9999998807907104	Q14915024:0.9999997615814209	Q861205:0.9999997615814209
5	1	Q275950	Q622336:1.0	Q275950:1.0	Q1248594:0.9999996423721313	Q78059950:0.9999995231628418	Q1138864:0.9999995231628418
6	1	Q252804	Q252804:1.0	Q20831013:0.9999984502792358	Q11861246:0.9999960660934448	Q45028:0.9999805688858032	Q54913666:0.9999655485153198
7	1	Q715292	Q715292:1.0	Q99309488:1.0	Q852583:0.9999998807907104	Q245172:0.9999997615814209	Q917588:0.9999996423721313
8	1	Q1765733	Q1765733:1.0	Q2089035:0.9999998807907104	Q2530723:0.9999998807907104	Q1139244:0.9999998807907104	Q2539933:0.9999992847442627
9	1	Q276217	Q276217:1.0	Q61721730:1.0	Q2642466:1.0	Q5643304:0.9999980926513672	Q1747150:0.999983549118042
