column,row,label,context,label_clean,kg_id,kg_labels,kg_aliases,method,kg_descriptions,pagerank,retrieval_score,GT_kg_id,GT_kg_label,evaluation_label,monge_elkan,des_cont_jaccard,jaro_winkler,graph-embedding-score,singleton,reciprocal_rank,num_char,num_tokens,siamese_pred,correct
1,0,Red Dead Redemption,"2010|Open World: (Third-Person) Shooter|PlayStation 3, Xbox 360|Rockstar San Diego",Red Dead Redemption,Q548203,Red Dead Redemption,,exact-match,2010 action-adventure video game,1.3892879715013064e-06,0.22088423997519224,Q548203,Red Dead Redemption,1,1.0,0.25,1.0,0.8315580140952763,1.0,0.3306451612903225,0.07692307692307693,0.07894736842105263,1.0,1
1,0,Red Dead Redemption,"2010|Open World: (Third-Person) Shooter|PlayStation 3, Xbox 360|Rockstar San Diego",Red Dead Redemption,Q3931421,Red Dead Redemption: The Man from Blackwater,,fuzzy-augmented,2010 film,3.6629798362729013e-07,0.18446561638289138,Q548203,Red Dead Redemption,-1,0.8599567099567099,0.5,0.8863636363636364,0.6736793350596454,0.235480627909748,0.07963709677419355,0.17813765182186236,0.18421052631578946,0.9999998807907104,1
1,0,Red Dead Redemption,"2010|Open World: (Third-Person) Shooter|PlayStation 3, Xbox 360|Rockstar San Diego",Red Dead Redemption,Q27438121,Red Dead Redemption 2,RDR2|RDR 2|Red Dead Redemption II|RDR II|Red Dead 2,fuzzy-augmented,2018 western-themed action-adventure video game,9.092834502763557e-07,0.29575078655715914,Q548203,Red Dead Redemption,-1,0.875,0.0,0.9809523809523808,0.8300056138836477,0.235480627909748,0.24697580645161288,0.08502024291497975,0.10526315789473684,0.9999997615814209,1
1,0,Red Dead Redemption,"2010|Open World: (Third-Person) Shooter|PlayStation 3, Xbox 360|Rockstar San Diego",Red Dead Redemption,Q641697,Red Dead Revolver,,fuzzy-augmented,2004 third-person shooter video game,6.214642911791822e-07,0.1989903395472015,Q548203,Red Dead Redemption,-1,0.9125925925925926,0.125,0.8743986663491308,0.8222897272515239,0.235480627909748,0.1967741935483871,0.06882591093117409,0.07894736842105263,0.9999995231628418,1
1,0,Red Dead Redemption,"2010|Open World: (Third-Person) Shooter|PlayStation 3, Xbox 360|Rockstar San Diego",Red Dead Redemption,Q1030206,Undead Nightmare,Red Dead Redemption: Undead Nightmare,fuzzy-augmented,2010 video game downloadable content,3.955041957433531e-07,0.26057247930952093,Q548203,Red Dead Redemption,-1,0.5879629629629629,0.2,0.5837719298245614,0.8475312357178982,0.235480627909748,0.9999999999999999,0.06477732793522267,0.05263157894736842,0.9999963045120239,1
1,1,Uncharted 2: Among Thieves,"2009|Action-adventure, Third-person shooter|PlayStation 3|Naughty Dog",Uncharted 2  Among Thieves,Q17146,Uncharted 2: Among Thieves,,fuzzy-augmented,2009 video game,5.868211585736621e-07,0.4495307283326596,Q17146,Uncharted 2: Among Thieves,1,0.86625,0.3333333333333333,0.9606153846153846,0.7859793231009721,0.235480627909748,0.24697580645161288,0.10526315789473684,0.10526315789473684,1.0,1
1,1,Uncharted 2: Among Thieves,"2009|Action-adventure, Third-person shooter|PlayStation 3|Naughty Dog",Uncharted 2  Among Thieves,Q20082627,Uncharted,,fuzzy-augmented,2009 film,3.436024992699295e-07,0.18455266345036797,Q17146,Uncharted 2: Among Thieves,-1,0.693968253968254,0.5,0.8692307692307693,0.5145544885111359,0.235480627909748,0.013278642936596231,0.03643724696356275,0.02631578947368421,0.9999998807907104,1
1,1,Uncharted 2: Among Thieves,"2009|Action-adventure, Third-person shooter|PlayStation 3|Naughty Dog",Uncharted 2  Among Thieves,Q1064135,Uncharted,Uncharted Series,fuzzy-augmented,video game series,1.085918686290058e-06,0.1852686304168764,Q17146,Uncharted 2: Among Thieves,-1,0.693968253968254,0.0,0.8692307692307693,0.7763721369961689,0.235480627909748,0.1633064516129032,0.03643724696356275,0.02631578947368421,0.9999877214431763,1
1,1,Uncharted 2: Among Thieves,"2009|Action-adventure, Third-person shooter|PlayStation 3|Naughty Dog",Uncharted 2  Among Thieves,Q17138,Uncharted 3: Drake\s Deception,,fuzzy-augmented,2011 action-adventure third-person shooter platform video game,4.005768447375376e-07,0.16961516673728821,Q17146,Uncharted 2: Among Thieves,-1,0.4504497354497354,0.25,0.8471794871794872,0.751984406251555,0.235480627909748,0.10752688172043011,0.12145748987854252,0.10526315789473684,0.9999722242355347,1
1,1,Uncharted 2: Among Thieves,"2009|Action-adventure, Third-person shooter|PlayStation 3|Naughty Dog",Uncharted 2  Among Thieves,Q11233573,Uncharted Waters,,fuzzy-augmented,video game released in 1990,3.436024992699295e-07,0.15697413844760222,Q17146,Uncharted 2: Among Thieves,-1,0.6205555555555555,0.0,0.8423076923076923,0.7798581151994779,0.235480627909748,0.1967741935483871,0.06477732793522267,0.05263157894736842,0.9998165965080261,1
