col0,col1,col2
IFI27,human chromosome 14,forward strand
HSPA2,human chromosome 14,forward strand
GSTZ1,human chromosome 14,forward strand
FUT8,human chromosome 14,forward strand
BDRB1,human chromosome 14,forward strand
FNTB,human chromosome 14,forward strand
FOXG1,human chromosome 14,forward strand
EML1,human chromosome 14,forward strand
EIF5,human chromosome 14,forward strand
IF2T1,human chromosome 14,forward strand
DYNE1H1,human chromosome 14,forward strand
DLST,human chromosome 14,forward strand
DIO3,human chromosome 14,forward strand
COCH,human chromosome 14,forward strand
CRIP2,human chromosome 14,forward strand
CRIP1,human chromosome 14,forward strand
CDKN3,human chromosome 14,forward strand
CALM2,human chromosome 14,forward strand
CALM1,human chromosome 14,forward strand
BC2L2,human chromosome 14,forward strand
