0	0	Q64679115
0	2	Q1183
0	3	Q19484
1	0	Q64675464
1	2	Q1183
1	3	Q19484
2	0	Q64661921
2	2	Q8646
2	3	Q18936
3	0	Q64665472
3	2	Q1183
3	3	Q18936
4	0	Q64660363
4	2	Q1183
4	3	Q18936
5	0	Q64659803
5	2	Q1183
5	3	Q18936
6	0	Q64652731
6	2	Q1183
6	3	Q18936
7	0	Q64647103
7	2	Q1183
7	3	Q18936
8	0	Q64647714
8	2	Q8646
8	3	Q19484
9	0	Q64647563
9	2	Q8646
9	3	Q19484
10	0	Q64644833
10	2	Q1183
10	3	Q19484
11	0	Q64644409
11	2	Q1183
11	3	Q19484
12	0	Q66407730
12	2	Q8646
12	3	Q19484
13	0	Q66411175
13	2	Q8646
13	3	Q18936
14	0	Q66077685
14	2	Q8646
14	3	Q18936
15	0	Q63322487
15	2	Q1183
15	3	Q12187
16	0	Q64626358
16	2	Q1183
16	3	Q19484
17	0	Q64625261
17	2	Q1183
17	3	Q19484
18	0	Q64622566
18	2	Q1183
18	3	Q19484
19	0	Q64598494
19	2	Q1183
19	3	Q19484
