col0,col1,col2
exodeoxyribonuclease V subunit gamma CTL0008,polyphosphate kinase complex,Chlamydia trachomatis 434/BU
aromatic amino acid aminotransferase CTL0005,phosphatidylinositol 3-kinase complex,Chlamydia trachomatis 434/BU
APOC4,extracellular region,Homo sapiens
PF3D7_0725500,integral component of membrane,Plasmodium falciparum
LCAT,extracellular,Homo sapiens
APOC2,chylomicron,Homo sapiens
APOC3,chylomicron,Homo sapiens
APOH,cell surface,Homo sapiens
APOD,endoplasmic reticulum,Homo sapiens
APOC1,endoplasmic reticulum,Homo sapiens
PROC,endoplasmic reticulum,Homo sapiens
POMC,cytoplasm,Homo sapiens
RFC5,cell nucleus,Plasmodium falciparum
CST3,basement membrane,Homo sapiens
IGHG1,cell membrane,Homo sapiens
FURIN,cell membrane,Homo sapiens
ANXA1,cell membrane,Homo sapiens
APOB,cell membrane,Homo sapiens
LPL,cell membrane,Homo sapiens
PF3D7_1102000,cell membrane,Plasmodium falciparum
