col0,col1,col2
chondromalacia patellae,rheumatology,bone disease
relapsing polychondritis,rheumatology,Autoimmune connective tissue disorder
ganglion or cyst of synovium/tendon/bursa,rheumatology,arthropathy
patellofemoral pain syndrome,rheumatology,arthropathy
temporomandibular joint pathology,rheumatology,arthropathy
hemarthrosis,rheumatology,arthropathy
joint effusion,rheumatology,arthropathy
articular cartilage disease,rheumatology,arthropathy
arthritis,rheumatology,arthropathy
shoulder impingement syndrome,orthopedics,arthropathy
De Quervain disease,rheumatology,occupational disease
villonodular synovitis,rheumatology,synovitis
tenosynovitis,physical medicine and rehabilitation,tendinitis
tooth ankylosis,gastroenterology,genetic disease
Felty's syndrome,rheumatology,syndrome
septic arthritis,infectiology,arthritis
periarthritis,rheumatology,arthritis
discitis,rheumatology,arthritis
reactive arthritis,rheumatology,arthritis
polyarthritis,rheumatology,arthritis
