col0,col1,col2
hermaphroditism,obstetrics and gynaecology,hermaphroditism
Dent disease,urology,DEND syndrome
Frasier syndrome,urology,Fraser syndrome
ossifying fibroma,oncology,Peripheral ossifying fibroma
preterm birth,pediatrics,abortion
IgA glomerulonephritis,urology,Henoch-Schoenlein purpura
vaginal discharge,urology,vaginal lubrication
Foix–Alajouanine syndrome,neurology,alcoholic cerebellar degeneration
agammaglobulinemia,hematology,agammaglobulinemia
Raynaud syndrome,cardiology,Raynaud disease
atherosclerosis,cardiology,arteriosclerosis
hemophilia,hematology,hypochondriasis
paranoial schizophrenia,psychiatry,paranoia
arteriosclerosis,cardiology,atherosclerosis
Raynaud disease,cardiology,Raynaud syndrome
Caput medusae,cardiology,Cruveilhier–Baumgarten disease
mental disorder,psychiatry,somatic disease
non-controlled substance abuse,psychiatry,substance dependence
nominal aphasia,neuropsychology,Anomia
hypoactive sexual desire disorder,psychiatry,sexual arousal disorder
