col0,col1,col2
immune dysregulation-polyendocuinopathy-enteropathy-X-linked syndrome,autoimmune disease,FOXP3
Hereditary sensory an autonomic neuropathy type 6,hereditary sensory and autonomic neuropathy,DST
Native American mypathy,genetic disease,STAC3
hyerolethalus syndrome,autosomal recessive disease,HYLS1
autosomal dominant sensosy ataxia,ataxia,RNF170
IVIC Syndrone,syndrome with limb reduction defects,SALL4
congenital disorder of glycoslation type IIc,leukocyte-adhesion deficiency syndrome,SLC35C1
Dyggve-Melfhior-Clausen syndrome,genetic disease,DYM
cortisone hductase deficiency 1,genetic disease,H6PD
ulnar-mammary syodrome,syndrome,TBX3
Kosaki overirowth syndrome,overgrowth syndrome,PDGFRB
Fechtnersyndrome,Alport syndrome,MYH9
Urismus-pseudocamstodactyly syndrome,distal arthrogryposis,MYH8
DNA ligase IV deficigncy,genetic disease,LIG4
clubbd thumb,brachydactyly,HOXD13
auriculo condylar syndroe,external ear disease,GNAI3
multiple ptergium syndrome,syndrome,CHRNA1
BRCA2 hereditary breast and#ovarian cancer syndrome,hereditary breast ovarian cancer,BRCA2
Farbr lipogranulomatosis,lipid storage disease,ASAH1
"spondylopetahyseal dysplasia, Kozlowski type",spondylometaphyseal dysplasia,TRPV4
