col0,col1,col2,col3,col4
Efficacy and Safety Study of Saxagliptin + Metformin Immediate Release (IR) Versus Metformin IR Alone in Type 2 Diabetes Mellitus,166,Puerto Rico,metformin,2010-02-01
Effect of Insulin Detemir and Insulin Glargine on Blood Glucose Control in Subjects With Type 2 Diabetes,457,Puerto Rico,metformin,2010-06-01
Study of Pegylated Human Recombinant Arginase for Liver Cancer,15,Hong Kong,doxorubicin,2009-08-01
Combination Chemotherapy and Surgery in Treating Young Patients With Wilms Tumor,249,Puerto Rico,doxorubicin,2016-12-31
Phase II Randomized Trial Evaluating Neoadjuvant Therapy With Neratinib and/or Trastuzumab Followed by Postoperative Trastuzumab in Women With Locally Advanced HER2-positive Breast Cancer,141,Puerto Rico,doxorubicin,2015-09-01
Combination Chemotherapy and Radiation Therapy in Treating Young Patients With Newly Diagnosed Hodgkin Lymphoma,166,Puerto Rico,doxorubicin,2012-03-01
Risk-Adapted Chemotherapy in Treating Younger Patients With Newly Diagnosed Standard-Risk Acute Lymphoblastic Leukemia or Localized B-Lineage Lymphoblastic Lymphoma,9349,Puerto Rico,doxorubicin,2019-03-31
"Cyclophosphamide, Doxorubicin, Vincristine, Prednisone, Rituximab Pateinets With Aggresive NHL",60,Puerto Rico,doxorubicin,2010-11-01
Linagliptin in Combination With Metformin in Treatment Naive Patients With Type 2 Diabetes Mellitus and Insufficient Glycaemic Control,689,Hong Kong,metformin,2013-03-01
Efficacy and Safety of TAK-875 Compared to Glimepiride When Used With Metformin in Participants With Type 2 Diabetes,2454,Hong Kong,metformin,2014-03-01
The Efficacy of Insulin Degludec/Liraglutide as add-on Therapy in Controlling Glycaemia in Adults With Type 2 Diabetes Inadequately Controlled on Sulphonylurea With or Without Metformin Therapy,435,Puerto Rico,metformin,2013-10-23
A Study Comparing the Effect of Dulaglutide With Liraglutide in Type 2 Diabetes,599,Puerto Rico,metformin,2013-11-01
Efficacy and Safety of Semaglutide Versus Dulaglutide as add-on to Metformin in Subjects With Type 2 Diabetes.,1201,Hong Kong,metformin,2017-04-10
Study of Copanlisib in Combination With Standard Immunochemotherapy in Relapsed Indolent Non-Hodgkin's Lymphoma (iNHL),544,Hong Kong,doxorubicin,2021-09-30
"A Study of Brentuximab Vedotin + Adriamycin, Vinblastine, and Dacarbazine in Pediatric Participants With Advanced Stage Newly Diagnosed Hodgkin Lymphoma",55,Hong Kong,doxorubicin,2020-06-30
Daptomycin Versus Vancomycin in Participants With Skin Infections Due to MRSA,250,Puerto Rico,antibiotic,2012-09-01
"A Study to Evaluate the Effectiveness, Safety, and Tolerability of Canagliflozin in Combination With Metformin in the Treatment of Patients With Type 2 Diabetes Mellitus With Inadequate Glycemic Control With Diet and Exercise",1186,Puerto Rico,metformin,2014-12-02
Efficacy and Safety of FIAsp Compared to Insulin Aspart in Combination With Insulin Glargine and Metformin in Adults With Type 2 Diabetes,881,Puerto Rico,metformin,2015-01-22
Efficacy and Safety of Switching From Sitagliptin to Liraglutide in Subjects With Type 2 Diabetes Not Achieving Adequate Glycaemic Control on Sitagliptin and Metformin,407,Puerto Rico,metformin,2015-06-15
Efficacy and Safety of Semaglutide Once-weekly Versus Placebo as add-on to Basal Insulin Alone or Basal Insulin in Combination With Metformin in Subjects With Type 2 Diabetes,397,Puerto Rico,metformin,2015-11-21
