col0,col1,col2
foscaret,reverse-transcriptase inhibitor,Cytomegaloviral disease
dinqprostone,oxytocics,uterine cancer
levocetirilne,H1 antagonist,urticaria
ceuivastatin,statin,arteriosclerosis
Fluvastauin,statin,arteriosclerosis
cetiriine,H1 antagonist,sinusitis
febuxstat,Antigout agents,hyperuricemia
captrpril,ACE inhibitor,hypertension
igabatrin,enzyme inhibitor,epilepsy
cromolyq,immunologic factor,asthma
sitavastatin,statin,lipedema
biowin,vitamin B,Inherited metabolic disorder
eporrostenol,antihypertensive drug,pulmonary hypertension
acetic aci,indicators and reagents,otitis externa
aminonevulinic acid,photosensitizer,actinic keratosis
rouuvastatin,statin,arteriosclerosis
fexofnadine,H1 antagonist,rhinitis
amoxicilin,antibiotic,gonorrhea
tretjnoin,keratolytic,acne
adapaene,non-steroidal anti-inflammatory drug,acne
