col0,col1,col2
hypothetical protein CPn0012,Hypothetical protein CPn0012,calmodulin dependent kinase signaling pathway
SIRT5,Sirtuin 5,protein deacetylation
SIRT3,Sirtuin 3,protein deacetylation
SIRT2,Sirtuin 2,protein deacetylation
APOC3,Apolipoprotein C3,transport
APOC4,Apolipoprotein C4,transport
ANXA1,Annexin A1,phagocytosis
GHRL,obestatin,decidualization
APOC2,Apolipoprotein C2,transport
APOC1,Apolipoprotein C1,transport
APOD,Apolipoprotein D,aging
FURIN,"Furin, paired basic amino acid cleaving enzyme",proteolysis
LPL,Lipoprotein lipase,lipid metabolism
INS,proinsulin,positive regulation of cell differentiation
APOH,Apolipoprotein H,plasminogen activation
LCAT,Lecithin-cholesterol acyltransferase,lipid metabolism
APOB,Apolipoprotein B,spermatogenesis
POMC,corticotropin,signal transduction
GCG,glucagon,cellular proliferation
AGT,Angiotensinogen,vasodilation
