col0,col1,col2
NIKBIA,human chromosome 14,reverse strand
TGM1,human chromosome 14,reverse strand
GCH1,human chromosome 14,reverse strand
CTSG,human chromosome 14,reverse strand
GALC,human chromosome 14,reverse strand
MYH7,human chromosome 14,reverse strand
SGRPIND,human chromosome 14,reverse strand
SERPIN1,human chromosome 14,reverse strand
WARS1,human chromosome 14,reverse strand
CIDEB,human chromosome 14,reverse strand
ACTN1,human chromosome 14,reverse strand
OR10G,human chromosome 14,reverse strand
OR5DU1,human chromosome 14,reverse strand
NGB,human chromosome 14,reverse strand
DTAGE5,human chromosome 14,forward strand
MGAT2,human chromosome 14,forward strand
MARK3,human chromosome 14,forward strand
LGAS3,human chromosome 14,forward strand
KTN1,human chromosome 14,forward strand
KLC1,human chromosome 14,forward strand
