col0,col1,col2,col3
ALK EML4-ALK C1156Y–L1196M,crizotinib,ALK,human chromosome 2
ABL1 BCR-ABL F317C,dasatinib monohydrate,ABL1,human chromosome 9
ABL1 BCR-ABL F317S,dasatinib monohydrate,ABL1,human chromosome 9
ABL1 BCR-ABL T315A,dasatinib monohydrate,ABL1,human chromosome 9
ABL1 BCR-ABL E459K,imatinib mesylate,ABL1,human chromosome 9
ABL1 BCR-ABL L248R,axitinib,ABL1,human chromosome 9
KIT A829P,imatinib,KIT,human chromosome 4
KIT N822H,imatinib,KIT,human chromosome 4
KRAS G13V,Panitumumab,KRAS,human chromosome 12
FLT3 D835V,MLN-518,FLT3,human chromosome 13
ABL1 BCR-ABL F317I,dasatinib monohydrate,ABL1,human chromosome 9
ABL1 E279K,dasatinib monohydrate,ABL1,human chromosome 9
ABL1 BCR-ABL L387M,dasatinib monohydrate,ABL1,human chromosome 9
ABL1 BCR-ABL A397P,imatinib mesylate,ABL1,human chromosome 9
ABL1 BCR-ABL V379I,imatinib mesylate,ABL1,human chromosome 9
ABL1 BCR-ABL F317V,axitinib,ABL1,human chromosome 9
ABL1 M343T,axitinib,ABL1,human chromosome 9
ABL1 N336S,bosutinib,ABL1,human chromosome 9
ABL1 BCR-ABL P480A,bosutinib,ABL1,human chromosome 9
ABL1 BCR-ABL E453A,bosutinib,ABL1,human chromosome 9
