col0,col1,col2
intellectual disability,psychiatry,learning disability
hysteria,psychiatry,histrionic personality disorder
post-traumatic stress disorder,psychiatry,acute stress disorder
dysgraphia,neuropsychology,agraphia
hypochondriasis,psychiatry,hemophilia
attention deficit hyperactivity disorder,psychiatry,autism
psychosis,psychiatry,dissociative identity disorder
antisocial personality disorder,psychiatry,dissociative identity disorder
schizophrenia,psychiatry,dissociative identity disorder
Asperger syndrome,psychiatry,Alzheimer's disease
sleep apnea,neuropsychology,amnesia
kleptomania,psychology,kleptophilia
erectile dysfunction,psychology,Impotence
nocturnal enuresis,psychology,nocturia
obsessive-compulsive personality disorder,psychology,obsessive-compulsive disorder
dependent personality disorder,psychology,codependency
personality disorder,psychology,dissociative identity disorder
insomnia,psychology,amnesia
aphasia,neuropsychology,aphasia
borderline personality disorder,psychiatry,dependent personality disorder
