col0,col1,col2,col3
FLT3,Flt3,acute myeloid leukemia,protein-coding gene
FGFR3,Fgfr3,SADDAN,protein-coding gene
MAN2B1,Man2b1,alpha-mannosidosis,protein-coding gene
CHRM3,Chrm3,Prune belly syndrome,protein-coding gene
GRM7,Grm7,Cleft lip and cleft palate,protein-coding gene
FHIT,Fhit,Cleft lip and cleft palate,protein-coding gene
BMP6,Bmp6,Cleft lip and cleft palate,protein-coding gene
IRF6,Irf6,Cleft lip and cleft palate,protein-coding gene
LMNA,Lmna,progeria,protein-coding gene
DAPK1,Dapk1,pancreatic cancer,protein-coding gene
GTF2H1,Gtf2h1,pancreatic cancer,protein-coding gene
GRID1,Grid1,pancreatic cancer,protein-coding gene
DPP6,Dpp6,pancreatic cancer,protein-coding gene
DAB2,Dab2,pancreatic cancer,protein-coding gene
BICD1,Bicd1,pancreatic cancer,protein-coding gene
BACH1,Bach1,pancreatic cancer,protein-coding gene
NR5A2,Nr5a2,pancreatic cancer,protein-coding gene
PRKN,Prkn,pancreatic cancer,protein-coding gene
GATA3,Gata3,Hodgkin's lymphoma,protein-coding gene
IL13,Il13,Hodgkin's lymphoma,protein-coding gene
