col0,col1,col2
theobromine,Ottův slovník naučný,carbon
L-alanine,Brockhaus and Efron Encyclopedic Dictionary,carbon
succinic acid,Brockhaus and Efron Encyclopedic Dictionary,carbon
quinine,Brockhaus and Efron Encyclopedic Dictionary,carbon
zolpidem,Opium Law,carbon
D-methamphetamine,Opium Law,carbon
inulin,Armenian Soviet Encyclopedia,hydrogen
cortisol,Armenian Soviet Encyclopedia,hydrogen
phenmetrazine,Opium Law,carbon
glycine,Armenian Soviet Encyclopedia,carbon
testosterone,Armenian Soviet Encyclopedia,carbon
Phendimetrazine,Opium Law,carbon
dextroamphetamine,Opium Law,hydrogen
nitrous oxide,Armenian Soviet Encyclopedia,oxygen
ergotamine,Brockhaus and Efron Encyclopedic Dictionary,carbon
hydroquinone,Brockhaus and Efron Encyclopedic Dictionary,carbon
Hyoscyamine,Brockhaus and Efron Encyclopedic Dictionary,carbon
pemoline,Opium Law,carbon
phentermine,Opium Law,carbon
calcium cyanamide,Armenian Soviet Encyclopedia,calcium
