col0,col1,col2,col3
NexGen EBA Radiologic and Immunologic Biomarkers of Sterilizing Drug Activity in Tuberculosis,Task Applied Science,tuberculosis,National Institute of Allergy and Infectious Diseases
Procure Tumor and Initiate Melanoma Tumor-Reactive Tumor Infiltration,John Wayne Cancer Institute,melanoma,John Wayne Cancer Institute
Low-Dose Acetylsalicylic Acid in Treating Patients With Stage I-III Non-Small Cell Lung Cancer,Vanderbilt University,adenocarcinoma,Vanderbilt-Ingram Cancer Center
Search for New Methods to Detect Acute Renal Failure,National Institutes of Health,acute kidney injury,National Institute of Diabetes and Digestive and Kidney Diseases
A Study to Evaluate the Safety and Efficacy of Upadacitinib (ABT-494) for Induction and Maintenance Therapy in Subjects With Moderately to Severely Active Ulcerative Colitis (UC),Puerto Rico,colitis,AbbVie
A Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Participants With Moderately to Severely Active Ulcerative Colitis,Puerto Rico,colitis,AbbVie
Evaluation of Upadacitinib in Adolescent and Adult Patients With Moderate to Severe Atopic Dermatitis (Eczema)- Measure Up 1,Puerto Rico,dermatitis,AbbVie
"Collection of Blood, Bone Marrow, Tumor, or Tissue Samples From Patients With Cancer to Study Drug Resistance",National Institutes of Health,carcinoma,National Cancer Institute
Gilead Sustained Virologic Response (SVR) Registry,Puerto Rico,hepatitis,Gilead Sciences
A Gilead Sequence Registry of Subjects Who Did Not Achieve Sustained Virologic Response,Puerto Rico,hepatitis,Gilead Sciences
AMG 151 Amgen Protocol Number 20100761,Puerto Rico,diabetes mellitus,Amgen
Dasatinib (BMS-354835) Versus Imatinib Mesylate in Subjects With Chronic Myeloid Leukemia,Puerto Rico,leukemia,Bristol-Myers Squibb
Covered Metal Stent for Benign Biliary Stricture Caused by Chronic Pancreatitis,University of Helsinki,cholestasis,Helsinki University Central Hospital
"Study to Determine the Efficacy, Safety, Tolerability & Pharmacokinetics of RO 205-2349 in Patients With Type 2 Diabetes Mellitus",Puerto Rico,diabetes mellitus,Hoffmann-La Roche
Study of Ro 205-2349 in Patients With Type 2 Diabetes Mellitus,Puerto Rico,diabetes mellitus,Hoffmann-La Roche
A Study of DPP-IV Inhibitor in Patients With Type 2 Diabetes,Puerto Rico,diabetes mellitus,Hoffmann-La Roche
GR270773 In The Treatment Of Suspected Or Confirmed Gram-Negative Severe Sepsis In Adults,Puerto Rico,toxemia,GlaxoSmithKline
Benign Prostatic Hyperplasia Trial With Dutasteride And Tamsulosin Combination Treatment,Puerto Rico,hyperplasia,GlaxoSmithKline
"Consistency Study of GlaxoSmithKline (GSK) Biologicals' MMR Vaccine (209762) (Priorix) Comparing Immunogenicity and Safety to Merck & Co., Inc.'s MMR Vaccine (M-M-R II), in Children 12 to 15 Months of Age",Puerto Rico,measles,GlaxoSmithKline
"Safety and Immunogenicity Study of GlaxoSmithKline (GSK) Biologicals' Measles, Mumps and Rubella (MMR) Vaccine (209762) Compared to Merck & Co., Inc.'s MMR Vaccine in Healthy Children 12 to 15 Months of Age",Puerto Rico,measles,GlaxoSmithKline
