col0,col1,col2
pstein syndrome,MYH9,MYH9-related disorder
frontometaph{seal dysplasia,FLNA,otopalatodigital syndrome spectrum disorder
Multile familial trichoepithelioma,CYLD,Trichoepithelioma
"Platyspondylic lethal skeletal dysplasia, Worrance type",COL2A1,thanatophoric dysplasia
Encephaloraniocutaneous lipomatosis,FGFR1,lipomatosis
Kowarski syndroe,GH1,failure to thrive
Bruton-type agammcglobulinemia,BTK,agammaglobulinemia
progressive familial intrajepatic cholestasiv,ABCB11,liver disease
herefitary spastic paraplegia 4,SPAST,hereditary spastic paraplegia
prietal foramina,MSX2,neural tube defect
congenital mwscular dystrophy type 1C,FKRP,genetic disease
Dyggve-Melchior-Clausen synerome,DYM,genetic disease
glycjnuria,SLC6A20,genetic disease
progressive pseudorhematoid arthropathy of childhood,CCN6,genetic disease
Fuhrman syndrome,WNT7A,genetic disease
Forne robinson pascoe syndrome,MAP3K7,genetic disease
spondylocarpotarsal synostosis syndrpme,FLNB,genetic disease
Bepharo-cheilo-odontic syndrome,CDH1,syndrome
Autosmal recessive primary microcephaly,CEP135,microcephaly
Absence of fingerprints-conenital milia syndrome,SMARCAD1,Adermatoglyphia
