0	0	Q206844
0	1	Q2041543
0	2	Q623
1	0	Q218642
1	1	Q602358
1	2	Q623
2	0	Q213050
2	1	Q602358
2	2	Q623
3	0	Q189522
3	1	Q602358
3	2	Q623
4	0	Q218842
4	1	Q316572
4	2	Q623
5	0	Q191924
5	1	Q316572
5	2	Q623
6	0	Q201552
6	1	Q2657718
6	2	Q556
7	0	Q190875
7	1	Q2657718
7	2	Q556
8	0	Q3329406
8	1	Q316572
8	2	Q623
9	0	Q620730
9	1	Q2657718
9	2	Q623
10	0	Q1318776
10	1	Q2657718
10	2	Q623
11	0	Q1649219
11	1	Q316572
11	2	Q623
12	0	Q1706418
12	1	Q316572
12	2	Q556
13	0	Q905750
13	1	Q2657718
13	2	Q629
14	0	Q419186
14	1	Q602358
14	2	Q623
15	0	Q419164
15	1	Q602358
15	2	Q623
16	0	Q413762
16	1	Q602358
16	2	Q623
17	0	Q419008
17	1	Q316572
17	2	Q623
18	0	Q418157
18	1	Q316572
18	2	Q623
19	0	Q367994
19	1	Q2657718
19	2	Q706
