col0,col1,col2
Klippel–Trénaunay–Weber syndrome,medical genetics,Parkes Weber syndrome
jaw-winking syndrome,medical genetics,Marcus Gunn pupil
Fraser syndrome,medical genetics,Frasier syndrome
Lyme disease,infectiology,Chronic Lyme disease
cercarial dermatitis,infectiology,Seabather's eruption
contagious pustular dermatitis,infectiology,ORF
bubonic plague,infectiology,Black Death
microcephaly,medical genetics,sperm microcephaly
Edwards syndrome,medical genetics,orofaciodigital syndrome VIII
Athletic pubalgia,emergency medicine,osteitis pubis
snakebite,emergency medicine,Dry bite
overnutrition,nutrition,forced induction
cervix erosion,gynecology,ectropion
air embolism,diving medicine,decompression sickness
plague,infectiology,Black Death
hemorrhoid,general surgery,Anorectal varices
ascaridiasis,infectiology,ascariasis
pharyngitis,otolaryngology,laryngitis
decompression sickness,occupational medicine,air embolism
endometriosis,gynecology,endometrosis
