col0,col1,col2,col3,col4,col5,col6
PocGH01_00066500,PocGH01_00_v2,reverse strand,PocGH01_00120100,"PIR protein, pseudogene",pseudogene,Plasmodium ovale curtisi
PocGH01_00066300,PocGH01_00_v2,forward strand,PocGH01_00028800,"PIR protein, pseudogene",pseudogene,Plasmodium ovale curtisi
PocGH01_00066100,PocGH01_00_v2,reverse strand,PocGH01_00135200,"PIR protein, pseudogene",pseudogene,Plasmodium ovale curtisi
PocGH01_00066000,PocGH01_00_v2,reverse strand,PocGH01_00203300,"PIR protein, pseudogene",pseudogene,Plasmodium ovale curtisi
PF3D7_1476900,Pf3D7_14_v3,reverse strand,PRCDC_1475900,"Plasmodium exported protein, unknown function, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_1364700,Pf3D7_13_v3,forward strand,PVP01_1107300,"WD repeat-containing protein, putative, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_1334900,Pf3D7_13_v3,reverse strand,PRCDC_1333900,"MSP7-like protein, fragment, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_1220200,Pf3D7_12_v3,reverse strand,PVP01_1438600,"conserved Plasmodium protein, unknown function, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_1000900,Pf3D7_10_v3,forward strand,PRCDC_1000300,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_0832700,Pf3D7_08_v3,forward strand,PF3D7_0832200,"Plasmodium exported protein (PHISTa-like), unknown function, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_0800900,Pf3D7_08_v3,forward strand,PF3D7_0800800,"Plasmodium exported protein (hyp7), unknown function, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_0220400,Pf3D7_02_v3,forward strand,PRCDC_0219300,"DnaJ protein, putative, pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_0400200,Pf3D7_04_v3,forward strand,VAR,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",pseudogene,Plasmodium falciparum 3D7
VAR,Pf3D7_13_v3,reverse strand,PF3D7_0200800,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_0221900,Pf3D7_02_v3,reverse strand,VAR,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",pseudogene,Plasmodium falciparum 3D7
PF3D7_0200800,Pf3D7_02_v3,reverse strand,VAR,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",pseudogene,Plasmodium falciparum 3D7
VAR1CSA,Pf3D7_05_v3,forward strand,VAR1CSA,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",pseudogene,Plasmodium falciparum 3D7
AROM,Pf3D7_02_v3,forward strand,AROM,"pentafunctional AROM polypeptide, putative, pseudogene",pseudogene,Plasmodium falciparum 3D7
LOC102637269,mouse chromosome 11,reverse strand,SEC61G,"SEC61, gamma subunit",protein-coding gene,house mouse
Phf8-ps,mouse chromosome 17,reverse strand,RGD1310212,PHD finger protein 8,protein-coding gene,house mouse
