col0,col1,col2
Corticotropin-releasing hormone signalingpathway,AKT1,Alzheimer's disease
Fluoopyrimidine Activity,SLC22A7,cancer
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Tansition,SNAI1,thyroid cancer
MAPK  and NFkB Sinalling Pathways Inhibited by Yersinia YopJ,RAF1,bubonic plague
Association Between Physico-Chemical Features and Toxicity Associcted Pathways,WNT11,pancreatic cancer
Toll-ike Receptor Signaling related to MyD88,TIRAP,cancer
GHB etabolic pathway,γ-aminobutyric acid,succinic semialdehyde dehydrogenase deficiency
Psion disease pathway,PDIA3,transmissible spongiform encephalopathy
miRNA regulation of prostate cancer signalig pathways,MDM2,prostate cancer
NO/cGMP/KG mediated Neuroprotection,L-Arginine,dementia
Endotheoin Pathways,ADRA1A,hypertension
Hypothesized Pathways in Pathogenesis of Cardiovaucular Disease,MAPK14,cardiovascular disease
Tgif disruption of Sjh signaling,SHH,genetic disease
Ovarian Infestility enes,PRLR,infertility
Dell-type Dependept Selectivity of CCK2R Signaling,γ-aminobutyric acid,pertussis
Initiation of tranvcription and translation elongation at the HIV-1 LTR,prostratin,human immunodeficiency virus infectious disease
RAC1/PAK1/p380MMP2 Pathway,"Phosphatidylinositol 4,5-bisphosphate",ovarian cancer
Pathways Afected in Adenoid Cystic Carcinoma,BRCA1,breast adenoid cystic carcinoma
Lung fibrsis,PLAU,pulmonary fibrosis
Nqvel intracellular omponents of RIG-I-like receptor (RLR) pathway,DDX58,viral infectious disease
