col0,col1,col2
bacterial vaginosis,gynecology,acetic acid
anogenital venereal wart,infectiology,Interferon alfa-n3
dracunculiasis,infectiology,thiabendazole
hepatitis E,infectiology,ribavirin
dirofilariasis,infectiology,imidacloprid
acariasis,infectiology,imidacloprid
cysticercosis,infectiology,albendazole
paracoccidioidomycosis,infectiology,Ketoconazole
actinomycosis,infectiology,amoxicillin
shigellosis,infectiology,bismuth
acute hemorrhagic conjunctivitis,infectiology,emedastine
amoebic dysentery,infectiology,iodoquinol
fascioloidiasis,veterinary medicine,emetine
intestinal schistosomiasis,infectiology,oxamniquine
hymenolepiasis,infectiology,albendazole
ancylostomiasis,infectiology,albendazole
genital herpes,infectiology,aciclovir
Pseudomonas infection,pulmonology,lomefloxacin
dermatophytosis,infectiology,griseofulvin
allergic bronchopulmonary aspergillosis,pulmonology,Itraconazole
