col0,col1,col2
nitroglycerin,Great Soviet Encyclopedia,hydrogen
(R)-amphetamine,Opium Law,carbon
ketobemidone,Opium Law,carbon
etryptamine,Opium Law,carbon
diethylpropion,Opium Law,carbon
corticotropin,Armenian Soviet Encyclopedia,Corticotropin-like intermediate peptide
calcium chloride,Armenian Soviet Encyclopedia,chlorine
potassium chloride,Armenian Soviet Encyclopedia,chlorine
magnesium oxide,Armenian Soviet Encyclopedia,oxygen
creatine,Armenian Soviet Encyclopedia,carbon
pyruvic acid,Armenian Soviet Encyclopedia,carbon
salicylic acid,Armenian Soviet Encyclopedia,carbon
heparin,Armenian Soviet Encyclopedia,carbon
adenosine,Armenian Soviet Encyclopedia,carbon
phenolphthalein,Armenian Soviet Encyclopedia,carbon
L-Threonine,Armenian Soviet Encyclopedia,carbon
L-Cysteine,Armenian Soviet Encyclopedia,carbon
guanidine,Armenian Soviet Encyclopedia,carbon
L-Serin,Armenian Soviet Encyclopedia,carbon
L-Tryptophan,Armenian Soviet Encyclopedia,carbon
