0	0	Q61872392
0	1	Q63024061
0	2	Q22809711
0	3	Q59863437
0	4	Q64705523
0	5	Q277338
0	6	Q7201933
1	0	Q61872391
1	1	Q63024061
1	2	Q22809680
1	3	Q59859916
1	4	Q64705522
1	5	Q277338
1	6	Q7201933
2	0	Q61872390
2	1	Q63024061
2	2	Q22809711
2	3	Q59864574
2	4	Q64705521
2	5	Q277338
2	6	Q7201933
3	0	Q61872389
3	1	Q63024061
3	2	Q22809711
3	3	Q59868946
3	4	Q64705520
3	5	Q277338
3	6	Q7201933
4	0	Q18973906
4	1	Q61866965
4	2	Q22809711
4	3	Q56745184
4	4	Q64845974
4	5	Q277338
4	6	Q61779043
5	0	Q18972956
5	1	Q61866941
5	2	Q22809680
5	3	Q59747578
5	4	Q64843272
5	5	Q277338
5	6	Q61779043
6	0	Q18973406
6	1	Q61866941
6	2	Q22809711
6	3	Q56738175
6	4	Q64843243
6	5	Q277338
6	6	Q61779043
7	0	Q18973176
7	1	Q61866898
7	2	Q22809711
7	3	Q59760534
7	4	Q64843002
7	5	Q277338
7	6	Q61779043
8	0	Q18969669
8	1	Q61866791
8	2	Q22809680
8	3	Q61927779
8	4	Q64842264
8	5	Q277338
8	6	Q61779043
9	0	Q18969306
9	1	Q61866689
9	2	Q22809680
9	3	Q18969273
9	4	Q64830947
9	5	Q277338
9	6	Q61779043
10	0	Q18969624
10	1	Q61866689
10	2	Q22809680
10	3	Q18969616
10	4	Q64830920
10	5	Q277338
10	6	Q61779043
11	0	Q18968283
11	1	Q61815105
11	2	Q22809680
11	3	Q56709522
11	4	Q64830451
11	5	Q277338
11	6	Q61779043
12	0	Q19047202
12	1	Q61866508
12	2	Q22809680
12	3	Q56711258
12	4	Q64830751
12	5	Q277338
12	6	Q61779043
13	0	Q18974751
13	1	Q61866941
13	2	Q22809711
13	3	Q19043380
13	4	Q64843203
13	5	Q277338
13	6	Q61779043
14	0	Q18968356
14	1	Q61815105
14	2	Q22809711
14	3	Q61872289
14	4	Q64830459
14	5	Q277338
14	6	Q61779043
15	0	Q19043380
15	1	Q61815105
15	2	Q22809711
15	3	Q61872292
15	4	Q64829572
15	5	Q277338
15	6	Q61779043
16	0	Q19043692
16	1	Q61866524
16	2	Q22809680
16	3	Q61927658
16	4	Q64830806
16	5	Q277338
16	6	Q61779043
17	0	Q19043882
17	1	Q61815105
17	2	Q22809680
17	3	Q56708995
17	4	Q64830447
17	5	Q277338
17	6	Q61779043
18	0	Q21823217
18	1	Q15305594
18	2	Q22809711
18	3	Q18037209
18	4	Q21991607
18	5	Q20747295
18	6	Q83310
19	0	Q18266450
19	1	Q15305616
19	2	Q22809711
19	3	Q24403514
19	4	Q21986254
19	5	Q20747295
19	6	Q83310
