col0,col1,col2
Alzheimer's disease,neurology,confusion with time and space
Guillain–Barré Syndrome,neurology,ascending paralysis
carpal tunnel syndrome,neurology,wrist pain
ataxia telangiectasia,neurology,thymic hypoplasia
polycystic liver disease,medical genetics,hepatic cyst
narcolepsy,neurology,Ganguester
Tourette syndrome,neurology,tic
Marfan syndrome,medical genetics,pectus carinatum
Wilson disease,endocrinology,jaundice
Parkinson disease,neurology,spasticity
gout,rheumatology,swelling
Huntington disease,neurology,dementia
cataract,ophthalmology,glare
Pneumothorax,pulmonology,fatigue
lung cancer,oncology,fatigue
Crohn's disease,gastroenterology,fatigue
Williams-Beuren syndrome,pediatrics,supravalvular aortic stenosis
DiGeorge syndrome,medical genetics,thymic hypoplasia
Trimethylaminuria,endocrinology,fetor
Hajdu-Cheney syndrome,rheumatology,acroosteolysis
