col0,col1,col2,col3
Fraser syndrome,Cryptophthalmos,medical genetics,FRAS1
Norrie disease,eye disease,medical genetics,NDP
nasopharynx carcinoma,carcinoma,oncology,ITGA9
Sturge–Weber syndrome,phakomatosis,medical genetics,GNAQ
hypoparathyroidism-deafness-renal disease syndrome,chromosomal deletion syndrome,medical genetics,GATA3
Pendred syndrome,Thyroid dyshormonogenesis,endocrinology,SLC26A4
popliteal pterygium syndrome,IRF6-related disorders,medical genetics,IRF6
Schimmelpenning syndrome,syndrome,medical genetics,HRAS
prolactinoma,functioning pituitary adenoma,oncology,AIP
Townes-Brocks syndrome,autosomal dominant disease,medical genetics,SALL1
Simpson-Golabi-Behmel syndrome,macroglossia,medical genetics,GPC3
Proteus syndrome,birth defect,medical genetics,AKT1
CHARGE syndrome,syndrome,medical genetics,CHD7
Muir-Torre syndrome,Lynch syndrome,oncology,MSH2
von Hippel-Lindau disease,hemangioblastoma,medical genetics,VHL
retinoblastoma,ocular cancer,oncology,RB1
Carey Fineman Ziter syndrome,syndrome,medical genetics,MYMK
CHILD syndrome,nevus,medical genetics,NSDHL
rapadilino syndrome,autosomal recessive disease,medical genetics,RECQL4
otopalatodigital syndrome type 1,otopalatodigital syndrome,medical genetics,FLNA
