0	0	Q17831820
0	1	Q138955
0	2	Q22809680
1	0	Q17831652
1	1	Q138955
1	2	Q22809680
2	0	Q15322329
2	1	Q138955
2	2	Q22809680
3	0	Q15311603
3	1	Q138955
3	2	Q22809680
4	0	Q15311600
4	1	Q138955
4	2	Q22809680
5	0	Q14913390
5	1	Q138955
5	2	Q22809680
6	0	Q14913016
6	1	Q138955
6	2	Q22809680
7	0	Q14909191
7	1	Q138955
7	2	Q22809680
8	0	Q14907927
8	1	Q138955
8	2	Q22809680
9	0	Q14907251
9	1	Q138955
9	2	Q22809680
10	0	Q14906371
10	1	Q138955
10	2	Q22809680
11	0	Q14906123
11	1	Q138955
11	2	Q22809680
12	0	Q14904941
12	1	Q138955
12	2	Q22809680
13	0	Q14882120
13	1	Q138955
13	2	Q22809680
14	0	Q14865053
14	1	Q138955
14	2	Q22809680
15	0	Q7261255
15	1	Q138955
15	2	Q22809680
16	0	Q5945174
16	1	Q138955
16	2	Q22809680
17	0	Q5401842
17	1	Q138955
17	2	Q22809680
18	0	Q4955260
18	1	Q138955
18	2	Q22809680
19	0	Q4044993
19	1	Q138955
19	2	Q22809680
