col0,col1,col2
myotonia congenita,neurology,myotonia
Postural orthostatic tachycardia syndrome,cardiology,asthenia
Mal de parkinso,endocrinology,self-injury
neuroacanthocytosis,neurology,Acanthocyte
Antley-Bixler syndrome,medical genetics,craniosynostosis
McCune–Albright syndrome,medical genetics,precocious puberty
achromatopsia,ophthalmology,amblyopia
aortic valve stenosis,cardiology,syncope
Fabry disease,endocrinology,fatigue
hereditary stomatocytosis,hematology,stomatocyte
Van der Woude syndrome,medical genetics,cleft palate
Southeast Asian ovalocytosis,hematology,Elliptocyte
hereditary elliptocytosis,hematology,Elliptocyte
Saethre-Chotzen syndrome,rheumatology,craniosynostosis
Timothy syndrome,neurology,syncope
MOMO syndrome,genetics,obesity
osteitis fibrosa cystica,endocrinology,Brown tumor
fatal familial insomnia,psychiatry,agrypnia excitata
acrodermatitis enteropathica,endocrinology,blister
galactosemia,endocrinology,lactose intolerance
