col0,col1,col2,col3
ADORA3,Adora3,obesity,protein-coding gene
AATK,Aatk,obesity,protein-coding gene
SRL,Srl,obesity,protein-coding gene
SLC30A8,Slc30a8,obesity,protein-coding gene
UGT2B7,Ugt2b36,obesity,protein-coding gene
ADCYAP1,Adcyap1,obesity,protein-coding gene
TWIST1,Twist1,obesity,protein-coding gene
DCC,Dcc,obesity,protein-coding gene
PCSK2,Pcsk2,obesity,protein-coding gene
ESR1,Esr1,obesity,protein-coding gene
HMOX1,Hmox1,obesity,protein-coding gene
TBXAS1,Tbxas1,obesity,protein-coding gene
UBE3A,Ube3a,obesity,protein-coding gene
SLC4A1,Slc4a1,obesity,protein-coding gene
SERPING1,Serping1,obesity,protein-coding gene
CYP2E1,Cyp2e1,obesity,protein-coding gene
BMP2,dpp,obesity,protein-coding gene
ABO,Abo,malaria,protein-coding gene
BDNF,Bdnf,obesity,neurotrophin
CDH4,cdh4,obesity,protein-coding gene
