col0,col1,col2
herpes zoster,dermatology,aciclovir
toxascariasis,infectiology,imidacloprid
Plasmodium vivax malaria,infectiology,(RS)-primaquine
fusariosis,dermatology,Voriconazole
pulmonary tuberculosis,infectiology,linezolid
bacterial conjunctivitis,ophthalmology,lomefloxacin
Plasmodium falciparum malaria,infectiology,quinine
gram-negative bacterial infection,infectiology,cefixime
miliary tuberculosis,infectiology,rifampicin
impetigo,dermatology,mupirocin
hepatitis B,infectiology,tenofovir
pneumonia,pulmonology,antibiotic
subacute sclerosing panencephalitis,infectiology,acedoben sodium
subacute bacterial endocarditis,cardiology,penicillin G procaine hydrate
strongyloidiasis,infectiology,ivermectin
trichuriasis,infectiology,albendazole
enterobiasis,infectiology,albendazole
vasomotor rhinitis,pulmonology,L-scopolamine
cutaneous leishmaniasis,infectiology,meglumine
visceral leishmaniasis,infectiology,meglumine
