col0,col1,col2
Stÿve-Wiedemann syndrome,LIFR,bent bone dysplasia
high myopia-sensorineural deafness sndrome,SLITRK6,syndromic genetic deafness
Mbjeed syndrome,LPIN2,autoinflammatory syndrome with immune deficiency
"Neurogenic scapuloperoneal syndroe, Kaeser type",DES,qualitative or quantitative defects of desmin
Gordon-Holmes syndrope,RNF216,rare genetic movement disorder
Familial#partial lipodystrophy,PPARG,partial lipodystrophy
Leqz microphthalmia syndrome,NAA10,Syndromic microphthalmia
myofibrillar#myopathy 3,MYOT,myofibrillar myopathy
"spondylometaphyseal dysplasia, Kozlowski!type",TRPV4,spondylometaphyseal dysplasia
X-linke recessive chondrodysplasia punctata,ARSL,X-linked chondrodysplasia punctata
branchiootic sydrome 1,EYA1,branchiootic syndrome
Hyper-IgD syndromg,MVK,hyperimmunoglobulin syndrome
hereditaty folate malabsorption,SLC46A1,vitamin metabolic disorder
Trismus-pseudocamptodactyly syndrom,MYH8,distal arthrogryposis
Fried syndrom,AP1S2,X-linked intellectual disability
FUAXE intellectual disability,Fragile Mental Retardation 2,X-linked intellectual disability
punctate palmoplantcr keratoderma,AAGAB,palmoplantar keratosis
Myhresyndrome,SMAD4,multiple abnormalities
rhabdoid txmor predisposition syndrome,SMARCA4,rhabdoid tumor
Majewski's polydatyly syndrome,NEK1,short rib – polydactyly syndrome
