col0,col1,col2,col3
LDHC,Ldhc,amyotrophic lateral sclerosis,protein-coding gene
GAK,Gak,Parkinson disease,protein-coding gene
MLH3,MLH3,colorectal cancer,protein-coding gene
MTG1,MTG1,systemic lupus erythematosus,protein-coding gene
NFIA,Nfia,Coeliac Disease,protein-coding gene
HLA-DQA1,H2-Aa,Coeliac Disease,protein-coding gene
CD247,Cd247,Coeliac Disease,protein-coding gene
DSG3,Dsg3,Parkinson disease,protein-coding gene
COL13A1,Col13a1,Parkinson disease,protein-coding gene
BST1,Bst1,Parkinson disease,protein-coding gene
LRRK2,Lrrk2,Parkinson disease,protein-coding gene
MAPT,Mapt,Parkinson disease,protein-coding gene
SNCA,Snca,Parkinson disease,protein-coding gene
NSF,Nsf,Parkinson disease,protein-coding gene
SP140,Sp140,multiple sclerosis,protein-coding gene
BTNL2,Btnl2,multiple sclerosis,protein-coding gene
ZMIZ1,Zmiz1,multiple sclerosis,protein-coding gene
SAMD12,Samd12,multiple sclerosis,protein-coding gene
PDZRN4,Pdzrn4,multiple sclerosis,protein-coding gene
MPV17L2,Mpv17l2,multiple sclerosis,protein-coding gene
