col0,col1,col2,col3,col4
DiGeorge syndrome,TBX1,Angelo DiGeorge,chromosomal deletion syndrome,medical genetics
Marfan syndrome,FBN1,Antoine Marfan,connective tissue disease,medical genetics
X-linked adrenoleukodystrophy,PEX5,Thomas Addison,leukodystrophy,endocrinology
fragile X syndrome,FMR1,Julia Bell,overgrowth syndrome,neurology
osteopetrosis,LRP5,Heinrich Albers-Schönberg,osteosclerosis,medical genetics
Alagille syndrome,NOTCH2,Daniel Alagille,liver disease,medical genetics
Sturge–Weber syndrome,GNAQ,Frederick Parkes Weber,phakomatosis,medical genetics
Crouzon syndrome,FGFR2,Octave Crouzon,craniosynostosis,medical genetics
Noonan syndrome,PTPN11,Jacqueline Noonan,syndrome,medical genetics
Kabuki syndrome,KDM6A,kabuki,syndrome,medical genetics
Fanconi anemia,FANCA,Guido Fanconi,congenital hypoplastic anemia,hematology
paroxysmal nocturnal hemoglobinuria,PIGT,Ettore Marchiafava,hemoglobinuria,hematology
Smith-Magenis syndrome,RAI1,R. Ellen Magenis,chromosomal deletion syndrome,neurology
basal ganglia calcification,PDGFB,Karl Theodor Fahr,basal ganglia disease,neurology
Kennedy disease,AR,William Kennedy,spinal muscular atrophy,neurology
Landau–Kleffner syndrome,GRIN2A,Frank Kleffner,childhood electroclinical syndrome,psychiatry
Behcet's disease,IL10,Hulusi Behçet,vasculitis,immunology
Cockayne syndrome,ERCC2,Edward Alfred Cockayne,autosomal recessive disease,neurology
hereditary hemorrhagic telangiectasia,SMAD4,William Osler,autosomal dominant disease,medical genetics
Angelman syndrome,UBE3A,Harry Angelman,chromosomal anomaly with epilepsy as a major feature,neurology
