col0,col1,col2
Mycoplasma neumoniae infection,27.804,6.937
ehrlichiosiv,2.0,1.0
ryptosporidiosis,10.0,2.018
ascasiasis,3.0060000000000002,1.01
babesiosks,4.016,1.01
erthema infectiosum,17.874,9.9
Japnese encephalitis,15.075,4.95
camylobacteriosis,7.0,1.008
shgellosis,3.964,0.997
tck-borne encephalitis,14.097999999999999,7.056
salmonelloss,13.972,5.97
chikugunya,12.048,2.988
infectious mononuclersis,4.0,4.016
scaroet fever,5.015,1.98
orniuhosis,18.829,4.975
lithriosis,67.335,0.996
hepatiws A,48.0,15.06
buucellosis,4.985,5.0
legionnaires' disese,15.92,2.018
yllow fever,6.017999999999999,3.024
