0	0	Q21279826
0	1	Q21763002
0	2	Q20800254
1	0	Q21280386
1	1	Q14876059
1	2	Q20800254
2	0	Q14910792
2	1	Q14645596
2	2	Q15978631
3	0	Q18969067
3	1	Q14327652
3	2	Q311383
4	0	Q14905444
4	1	Q1385443
4	2	Q15978631
5	0	Q14916272
5	1	Q423126
5	2	Q15978631
6	0	Q14910515
6	1	Q423126
6	2	Q15978631
7	0	Q14911006
7	1	Q189094
7	2	Q15978631
8	0	Q18247781
8	1	Q79927
8	2	Q15978631
9	0	Q14904550
9	1	Q79927
9	2	Q15978631
10	0	Q14864945
10	1	Q79927
10	2	Q15978631
11	0	Q14819793
11	1	Q79899
11	2	Q15978631
12	0	Q18970838
12	1	Q40260
12	2	Q311383
13	0	Q14913588
13	1	Q32846
13	2	Q15978631
14	0	Q18027713
14	1	Q29548
14	2	Q15978631
15	0	Q14916427
15	1	Q29548
15	2	Q15978631
16	0	Q14908222
16	1	Q29548
16	2	Q15978631
17	0	Q14890615
17	1	Q29548
17	2	Q15978631
18	0	Q14864755
18	1	Q29548
18	2	Q15978631
19	0	Q18970186
19	1	Q29548
19	2	Q311383
