col0,col1,col2
loiasis,filariasis,pain
trichuriasis,parasitic helminthiasis infectious disease,diarrhea
cryptosporidiosis,intestinal parasite infection,fever
croup,respiratory disease,cough
enterobiasis,parasitic helminthiasis infectious disease,irritability
Argentine hemorrhagic fever,viral infectious disease,headache
babesiosis,parasitic protozoa infectious disease,headache
trichomonas cervicitis,trichomoniasis,Strawberry cervix
chikungunya,neglected tropical disease,fever
Mycoplasma pneumoniae infection,atypical pneumonia,headache
herpes zoster,viral infectious disease,headache
abscess,suppuration,pain
scarlet fever,streptococcal infection,fever
shigellosis,bacterial infectious disease,fever
scabies,acariasis,fever
brucellosis,zoonosis,fatigue
dracunculiasis,nematode infection,vomiting
fasciolosis,parasitic helminthiasis infectious disease,anemia
Japanese encephalitis,brain diseases,headache
campylobacteriosis,gastroenteritis,headache
