col0,col1,col2
GZMH,human chromosome 14,reverse strand
BRF1,human chromosome 14,reverse strand
GWF2A1,human chromosome 14,reverse strand
GPX2,human chromosome 14,reverse strand
GPR33,human chromosome 14,reverse strand
GMFB,human chromosome 14,reverse strand
FKBP3,human chromosome 14,reverse strand
ERH,human chromosome 14,reverse strand
DIO2,human chromosome 14,reverse strand
DAD1,human chromosome 14,reverse strand
CMA1,human chromosome 14,reverse strand
CKB,human chromosome 14,reverse strand
FOXN3,human chromosome 14,reverse strand
CFL2,human chromosome 14,reverse strand
CEBPE,human chromosome 14,reverse strand
HNTPD5,human chromosome 14,reverse strand
FP36L1,human chromosome 14,reverse strand
AKT1,human chromosome 14,reverse strand
ACYP1,human chromosome 14,reverse strand
ESR2,human chromosome 14,reverse strand
