col0,col1,col2,col3
Osimertinib and Navitoclax in Treating Patients With EGFR-Positive Previously Treated Advanced or Metastatic Non-small Cell Lung Cancer,Ohio State University,carcinoma,National Cancer Institute
A Comparison of Reduced Dose Total Body Irradiation (TBI) and Cyclophosphamide With Fludarabine and Melphalan Reduced Intensity Conditioning in Adults With Acute Lymphoblastic Leukaemia (ALL) in Complete Remission. (ALL-RIC),King's College London,leukemia,University of Birmingham
Multi-DOSE Oral Ondansetron for Pediatric Acute GastroEnteritis,Alberta Children’s Hospital Foundation,diarrhea,University of Calgary
"Safety, Tolerability, and Efficacy Study of Idiopathic Pulmonary Fibrosis",Vanderbilt University,pulmonary fibrosis,FibroGen (United States)
Standard-Dose Combination Chemotherapy or High-Dose Combination Chemotherapy and Stem Cell Transplant in Treating Patients With Relapsed or Refractory Germ Cell Tumors,Vanderbilt University,teratoma,Alliance for Clinical Trials in Oncology
Left Versus Right Radial Artery and Radiation Exposure in Patients With Predictors of Trans-radial Failure,New York University,coronary artery disease,New York University School of Medicine
Safety and Efficacy Trial of RPC1063 for Moderate to Severe Ulcerative Colitis,Yonsei University,colitis,Celgene
Open-Label Extension of RPC1063 as Therapy for Moderate to Severe Ulcerative Colitis,Yonsei University,colitis,Celgene
"A Study to Determine Dose and Tolerability of CC-220 Monotherapy, in Combination With Dexamethasone, and in Combination With Dexamethasone and Daratumumab or Bortezomib in Subjects With Relapsed and Refractory Multiple Myeloma (MM)",University of Pennsylvania,multiple myeloma,Celgene
A Study to Determine Dose and Regimen of Durvalumab as Monotherapy or in Combination With Pomalidomide With or Without Dexamethasone in Subjects With Relapsed and Refractory Multiple Myeloma,Cornell University,multiple myeloma,Celgene
An Efficacy and Safety Study of Azacitidine Subcutaneous in Combination With Durvalumab (MEDI4736) in Previously Untreated Subjects With Higher-Risk Myelodysplastic Syndromes (MDS) or in Elderly Subjects With Acute Myeloid Leukemia (AML),University Medical Center Freiburg,leukemia,Celgene
A Safety and Efficacy Study of Oral AG-120 Plus Subcutaneous Azacitidine and Oral AG-221 Plus Subcutaneous Azacitidine in Subjects With Newly Diagnosed Acute Myeloid Leukemia (AML),Massachusetts General Hospital,leukemia,Celgene
An Efficacy and Safety Study of AG-221 (CC-90007) Versus Conventional Care Regimens in Older Subjects With Late Stage Acute Myeloid Leukemia Harboring an Isocitrate Dehydrogenase 2 Mutation,Yonsei University,leukemia,Celgene
Combination Chemotherapy With or Without Temsirolimus in Treating Patients With Intermediate Risk Rhabdomyosarcoma,Columbia University,rhabdomyosarcoma,National Cancer Institute
Chordoma Family Study,Massachusetts General Hospital,chordoma,National Cancer Institute
Lenalidomide and Blinatumomab in Treating Patients With Relapsed Non-Hodgkin Lymphoma,Yale University,lymphoma,National Cancer Institute
Genetic Analysis of Brain Tumors,Columbia University,astrocytoma,National Cancer Institute
Atezolizumab in Treating Patients With Recurrent BCG-Unresponsive Non-muscle Invasive Bladder Cancer,Boston University,carcinoma,National Cancer Institute
Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,Yonsei University,osteoarthritis,Pfizer
Pomalidomide and Dexamethasone With or Without Ixazomib in Treating Patients With Relapsed Multiple Myeloma,Decatur Memorial Hospital,multiple myeloma,Alliance for Clinical Trials in Oncology
