col0,col1,col2
ARHGA5,human chromosome 14,forward strand
ARG2,human chromosome 14,forward strand
LTB4R,human chromosome 14,forward strand
RNASE,human chromosome 14,forward strand
TNASE3,human chromosome 14,forward strand
PTGDR,human chromosome 14,forward strand
JDP2,human chromosome 14,forward strand
CHGA,human chromosome 14,forward strand
SESPINA5,human chromosome 14,forward strand
IL25,human chromosome 14,forward strand
SERPNA3,human chromosome 14,forward strand
FOS,human chromosome 14,forward strand
TSHR,human chromosome 14,forward strand
ANG,human chromosome 14,forward strand
ARF6,human chromosome 14,forward strand
PNP,human chromosome 14,forward strand
APEX1,human chromosome 14,forward strand
ESRRB,human chromosome 14,forward strand
BKRB2,human chromosome 14,forward strand
NPAS3,human chromosome 14,forward strand
