col0,col1,col2
raloxfene,60.6,145.58
dapsoqe,49.7,176.646
(+-)-flurbiprfen,44.44,110.778
vastatin,44.595,175.7
hydrochlorthiazide,25.124999999999996,269.80699999999996
arbimazole,15.044999999999998,123.504
hydrocodon,14.97,197.406
ealfapridine,20.099999999999998,159.318
adenotjne,15.075,236.88
ibuprofeq,30.269999999999996,76.461
benzdamine,8.91,320.64
predisone,9.93,234.63
methimaole,10.04,145.3545
methoxsaen,9.95,149.48
warfarkn,7.5,320.39
magqesium sulfate,7.0280000000000005,1140.4109999999998
epiedrine,8.048,40.08
magneuium oxide,6.93,5051.7119999999995
sulfametha{ine,4.02,198.2
salicylamid,2.9699999999999998,138.88
